"","name","ticker","date","title","nr_attachments","type"
"1323","SpareBank 1 Ringerike Hadeland","RING","2020-08-13T08:00:00Z","RING: Delårsregnskap 1.halvår og 2.kvartal 2020. Stødig kurs i usikre tider.",2,"quarterly"
"1324","Stadsbygd Sparebank","SBSB","2020-08-13T09:46:29.384+02:00","Stadsbygd Sparebank: Delårsrapport pr 30.06.2020",1,"quarterly"
"1325","Frende Holding AS","FRENDE","2020-08-13T09:44:14.05+02:00","Frende Forsikring per 30.06",1,"quarterly"
"1326","Grue Sparebank","GRSB","2020-08-13T09:36:14.738+02:00","Delårsrapport 2. kvartal 2020 Grue Sparebank",1,"quarterly"
"1327","Skudenes og Aakra Sparebank","SKASB","2020-08-13T07:00:00Z","Regnskapsrapport Q2 2020 Skudenes & Aakra Sparebank",1,"quarterly"
"1328","2020 Bulkers Ltd.","2020","2020-08-13T08:29:31.308+02:00","2020 Bulkers Ltd. (2020) - Results for the second quarter and the first half of 2020",3,"quarterly"
"1329","Frende Holding AS","FRENDE","2020-08-13T08:18:58.445+02:00","Frende Forsikring per 30.06",2,"quarterly"
"1330","SSB Boligkreditt AS","SSBB","2020-08-13T06:05:00Z","Resultat 2. kvartal 2020",1,"quarterly"
"1331","Shelf Drilling, Ltd.","SHLF","2020-08-13T08:03:35.445+02:00","Shelf Drilling Reports Second Quarter 2020 Results",3,"quarterly"
"1332","Instabank ASA","INSTA-ME","2020-08-13T08:00:50.346+02:00","Instabank Q2: Ny strategi gir resultater",2,"quarterly"
"1333","ContextVision AB","COV","2020-08-13T08:00:02.133+02:00","ContextVision: Flere produktlanseringer i andre kvartal inkludert første innen digital patologi",1,"quarterly"
"1334","ContextVision AB","COV","2020-08-13T08:00:01.774+02:00","ContextVision's second quarter sees multiple product releases including digital pathology debut",1,"quarterly"
"1335","Carasent ASA","CARA","2020-08-13T06:00:00Z","CARASENT ASA - Q2 and Half Year Report 2020",1,"quarterly"
"1336","Sandnes Sparebank","SADG","2020-08-13T06:00:00Z","Sandnes Sparebank styrker sin posisjon i et krevende marked",3,"quarterly"
"1337","Tysnes Sparebank","TYSB-ME","2020-08-13T06:00:00Z","Resultat 2. kvartal 2020 for Tysnes Sparebank",1,"quarterly"
"1338","Sparebanken Vest Boligkreditt AS","SBVB","2020-08-13T06:00:00Z","Financial statements and notes q2 2020 Sparebanken Vest Boligkreditt",1,"quarterly"
"1339","Napatech A/S","NAPA","2020-08-13T06:00:00Z","Napatech A/S: Q2 and H1 2020 Financial Results",2,"quarterly"
"1340","Napatech A/S","NAPA","2020-08-13T06:00:00Z","Napatech A/S: Resultater for andre kvartal og første halvår 2020",2,"quarterly"
"1341","Aurskog Sparebank","AURG","2020-08-13T07:56:44.069+02:00","Delårsregnskap første halvår 2020",1,"quarterly"
"1342","IDEX Biometrics ASA","IDEX","2020-08-13T07:56:02.437+02:00","IDEX Biometrics - Interim report for the first half of 2020",2,"quarterly"
"1343","BW LPG Limited","BWLPG","2020-08-13T07:53:16.688+02:00","BW LPG’S Q2 2020 FINANCIAL RESULTS PRESENTATION TO BE HELD ON 27 AUGUST 2020",0,"quarterly"
"1344","Epic Gas Ltd.","EPIC-ME","2020-08-13T07:31:59.578+02:00","EPIC GAS LTD. - RELEASE OF Q2 2020 RESULTS",2,"quarterly"
"1345","Jæren Sparebank","JAEREN","2020-08-13T05:30:00Z","Jæren Sparebank - resultat 2. kvartal 2020",2,"quarterly"
"1346","Veidekke ASA","VEI","2020-08-13T07:00:25.132+02:00","Veidekke ASA: Resultat for andre kvartal 2020",2,"quarterly"
"1347","Veidekke ASA","VEI","2020-08-13T07:00:25.117+02:00","Veidekke ASA: Q2 2020 results",2,"quarterly"
"1348","NORBIT ASA","NORBIT","2020-08-13T07:00:06.66+02:00","NORBIT - Results for the second quarter and first half of 2020",2,"quarterly"
"1349","Bank Norwegian AS","BANKN","2020-08-13T07:00:04.254+02:00","BANK NORWEGIAN AS: EARNINGS GROWTH, STRONG FUNDAMENTALS AND COST CONTROL",3,"quarterly"
"1350","Norwegian Finans Holding ASA","NOFI","2020-08-13T07:00:04.145+02:00","NORWEGIAN FINANS HOLDING ASA: EARNINGS GROWTH, STRONG FUNDAMENTALS AND COST CONTROL",3,"quarterly"
"1351","NORBIT ASA","NORBIT","2020-08-13T07:00:01.503+02:00","NORBIT - Resultater for andre kvartal og første halvår 2020",0,"quarterly"
"1352","Komplett Bank ASA","KOMP","2020-08-13T05:00:00Z","Komplett Bank ASA: Q2 2020 results – stable loan loss ratio and operations",2,"quarterly"
"1353","Møre Boligkreditt AS","MOBK","2020-08-13T05:00:00Z","Møre Boligkreditt AS - Second quarter and first half 2020 interim report",1,"quarterly"
"1354","Sparebanken Vest","SVEG","2020-08-13T05:00:00Z","God egenkapitalavkastning og solid kapitaldekning",4,"quarterly"
"1355","Sparebanken Vest","SVEG","2020-08-13T05:00:00Z","Good return on equity and solid capital adequacy",4,"quarterly"
"1356","Selbu Sparebank","SELB","2020-08-12T22:15:46.228+02:00","Delårsregnskap 2.kvartal 2020",1,"quarterly"
"1357","Andebu Sparebank","ANSB","2020-08-12T18:28:14.845+02:00","Delårsrapport 2. kvartal 2020 ANDEBU SPAREBANK",1,"quarterly"
"1358","Verd Boligkreditt AS","VEBK","2020-08-12T15:46:53.836+02:00","Verd Boligkreditt: Resultat 2. kvartal 2020",1,"quarterly"
"1359","SpareBank 1 Modum","MODSB","2020-08-12T15:43:25.799+02:00","Delårsrapport 2. kvartal 2020",1,"quarterly"
"1360","SFL Corporation Ltd.","SFLN","2020-08-12T15:19:35.271+02:00","SFL - Invitation to Presentation of Q2 2020 Results",0,"quarterly"
"1361","SpareBank 1 BV","SBVG","2020-08-12T15:17:36.261+02:00","Interim report Q2-2020 - SpareBank 1 BV",1,"quarterly"
"1362","OBOS BBL","OBOS","2020-08-12T15:14:01.783+02:00","OBOS - Presentasjon av resultater første halvår 2020",0,"quarterly"
"1363","SØGNE OG GREIPSTAD SPAREBANK","SOGSB","2020-08-12T14:36:18.427+02:00","Delårsrapport 2 kvartal 2020",1,"quarterly"
"1364","KLP Boligkreditt AS","KLPBK","2020-08-12T14:17:05.34+02:00","KLP Boligkreditt AS - 2.kvartalsrapport for 2020",1,"quarterly"
"1365","KLP Boligkreditt AS","KLPBK","2020-08-12T14:17:05.32+02:00","KLP Boligkreditt AS – Q2 Interim Report",1,"quarterly"
"1366","KLP Kommunekreditt AS","KLPKK","2020-08-12T14:14:38.675+02:00","KLP Kommunekreditt AS - 2.kvartalsrapport for 2020",1,"quarterly"
"1367","KLP Kommunekreditt AS","KLPKK","2020-08-12T14:14:38.658+02:00","KLP Kommunekreditt AS – Q2 Interim Report",1,"quarterly"
"1368","KLP Banken AS","KLPB","2020-08-12T14:12:09.678+02:00","KLP Banken AS - 2.kvartalsrapport for 2020",1,"quarterly"
"1369","KLP Banken AS","KLPB","2020-08-12T14:12:09.652+02:00","KLP Banken AS – Q2 Interim Report",1,"quarterly"
"1370","Selvaag Bolig ASA","SBO","2020-08-12T13:59:29.198+02:00","Selvaag Bolig ASA: Invitation to presentation of second quarter 2020 results",0,"quarterly"
"1371","Selvaag Bolig ASA","SBO","2020-08-12T13:57:28.904+02:00","Selvaag Bolig ASA: Invitasjon til presentasjon av resultater for andre kvartal 2020",0,"quarterly"
"1372","Helgeland Sparebank","HELG","2020-08-12T11:50:00Z","Regnskap Q2 2020",2,"quarterly"
"1373","Bien Sparebank ASA","SBBIG","2020-08-12T11:41:27.158+02:00","Bien Sparebank ASA - 2. kvartal 2020",0,"quarterly"
"1374","Grong Sparebank","GRONG-ME","2020-08-12T11:31:19.361+02:00","1. halvårsrapport",2,"quarterly"
"1375","Eika Boligkreditt AS","EIKB","2020-08-12T09:30:00Z","Eika Boligkreditt AS: Rapport for andre kvartal og første halvår 2020",1,"quarterly"
"1376","Eika Boligkreditt AS","EIKB","2020-08-12T09:30:00Z","Eika Boligkreditt AS: Report for the second quarter and first half 2020",1,"quarterly"
"1377","Fana Sparebank Boligkreditt AS","FSBKR","2020-08-12T11:07:53.667+02:00","Fana Sparebank Boligkreditt AS Regnskapsrapport Q2 2020",1,"quarterly"
"1378","Kredittforeningen for Sparebanker","KFS","2020-08-12T10:44:37.708+02:00","KFS - Kvartalsrapport 2. kvartal 2020",1,"quarterly"
"1379","Asetek A/S","ASETEK","2020-08-12T10:12:57.944+02:00","Asetek - Q2 2020: Gross margin increase and raised full-year expectations",3,"quarterly"
"1380","Questerre Energy Corporation","QEC","2020-08-12T06:00:00Z","Second Quarter 2020 Report including Financial Statements and Management's Discussion and Analysis",1,"quarterly"
"1381","DFDS A/S","DFDS","2020-08-12T07:51:08.522+02:00","DFDS Q2 2020 Interim Report",1,"quarterly"
"1382","Pexip Holding ASA","PEXIP","2020-08-12T07:34:19.819+02:00","Invitation to Pexip Q2 2020 Results Webcast",1,"quarterly"
"1383","SpareBank 1 Nord-Norge","NONG","2020-08-12T07:30:32.158+02:00","SpareBank 1 Nord-Norge: Resultat 2. kvartal 2020",3,"quarterly"
"1384","SpareBank 1 Nord-Norge","NONG","2020-08-12T07:30:32.143+02:00","SpareBank 1 Nord-Norge: 2nd Quarter results for 2020",3,"quarterly"
"1385","Sparebanken Telemark","SBTE","2020-08-12T05:15:00Z","Sterk vekst og solide tall til tross for koronapandemien fra Sparebanken Telemark for første halvår 2020",2,"quarterly"
"1386","Voss Veksel- og Landmandsbank ASA","VVL","2020-08-12T05:10:00Z","DELÅRSRAPPORT 2. KVATAL 2020",2,"quarterly"
"1387","Targovax ASA","TRVX","2020-08-12T07:00:13.47+02:00","Targovax ASA: Invitation to presentation of Targovax's second quarter and first half 2020 results, Thursday 20 August",0,"quarterly"
"1388","Hexagon Composites ASA","HEX","2020-08-12T07:00:09.562+02:00","Hexagon Composites ASA: Results for the second quarter and first half year 2020",2,"quarterly"
"1389","SpareBank 1 BV","SBVG","2020-08-12T05:00:00Z","Godt resultat i 2. kvartal",2,"quarterly"
"1390","Hegra Sparebank","HESB","2020-08-11T16:06:02.764+02:00","Kvartalsregnskap Q2 2020",1,"quarterly"
"1391","SpareBank 1 Hallingdal Valdres","SBHA","2020-08-11T13:45:00Z","Kvartalsrapport pr. 30.6.20",1,"quarterly"
"1392","Arcus ASA","ARCUS","2020-08-11T14:20:17.345+02:00","Arcus ASA: Invitation to presentation of Arcus' second quarter 2020 results, Tuesday August 18",0,"quarterly"
"1393","Eiendomskreditt AS","EIKR","2020-08-11T14:01:34.843+02:00","Eiendomskreditt AS - Resultat 2 kvartal 2020 og Halvårsrapport 2020",1,"quarterly"
"1394","Bustadkreditt Sogn og Fjordane AS","SSFBK","2020-08-11T13:39:47.166+02:00","Bustadkreditt Sogn og Fjordane - interim report Q2 2020",1,"quarterly"
"1395","Bustadkreditt Sogn og Fjordane AS","SSFBK","2020-08-11T13:39:46.964+02:00","Bustadkreditt Sogn og Fjordane - kvartalsrapport 2. kvartal 2020",1,"quarterly"
"1396","SpareBank 1 SMN","MING","2020-08-11T13:00:07.72+02:00","SpareBank 1 SMN: Sterk kundevekst og bedre resultat enn forventet",3,"quarterly"
"1397","SpareBank 1 SMN","MING","2020-08-11T13:00:07.704+02:00","SpareBank 1 SMN: Strong customer growth and better-than-expected profit performance",3,"quarterly"
"1398","Eksportfinans ASA","EKSPFI","2020-08-11T12:20:14.032+02:00","Eksportfinans' financial results for the first half-year of 2020",1,"quarterly"
"1399","Eksportfinans ASA","EKSPFI","2020-08-11T12:19:31.707+02:00","Eksportfinans' resultater for første halvår 2020",1,"quarterly"
"1400","Brage Finans AS","BRFI","2020-08-11T11:53:05.029+02:00","Brage Finans AS 2.kvartal 2020",1,"quarterly"
"1401","Grieg Seafood ASA","GSF","2020-08-11T11:47:54.415+02:00","Grieg Seafood ASA: Presentation of second quarter 2020 results",0,"quarterly"
"1402","Helgeland Boligkreditt AS","HEBK","2020-08-11T09:20:00Z","Regnskap Q2 2020 Helgeland Boligkreditt AS",1,"quarterly"
"1403","Rindal Sparebank","RISB","2020-08-11T09:54:33.636+02:00","Rindal Sparebank - Delårsrapport 2. kvartal 2020",1,"quarterly"
"1404","Eidsberg Sparebank","EIDSB","2020-08-11T09:50:55.358+02:00","Kvartalsregnskap 2Q 2020, Eidsberg Sparebank",1,"quarterly"
"1405","Fornebu Sparebank","FOSB","2020-08-11T08:34:03.809+02:00","Fornebu Sparebank, regnskap Q2 2020",1,"quarterly"
"1406","Askim og Spydeberg Sparebank","ASKSB","2020-08-11T08:13:01.895+02:00","Askim & Spydeberg Sparebank - delårsregnskap pr. 30. juni 2020",1,"quarterly"
"1407","Lillestrøm Sparebank","LSTSB-ME","2020-08-11T06:10:00Z","LillestrømBanken 2. kvartalsrapport 2020",1,"quarterly"
"1408","Gaming Innovation Group Inc","GIG","2020-08-11T08:05:14.844+02:00","Gaming Innovation Group reports Q2 2020",3,"quarterly"
"1409","Mutares SE & CO KGaA","MTRS","2020-08-11T07:32:07.998+02:00","Mutares in the first half of 2020 with revenue growth of 40% due to brisk transaction activity, COVID-19 with negative impact on profitability",1,"quarterly"
"1410","Crayon Group Holding ASA","CRAYON","2020-08-11T05:00:00Z","Crayon Group Holding ASA: Financial results for Q2 2020",2,"quarterly"
"1411","Arendal og Omegns Sparekasse","ARSP","2020-08-10T12:30:19.03+02:00","Arendal og Omegns Sparekasse - rapport for 2. kvartal 2020",1,"quarterly"
"1412","Wilh. Wilhelmsen Holding ASA","WWI","2020-08-10T10:00:00Z","Wilh. Wilhelmsen Holding ASA: Invitation to presentation of second quarter 2020 results",0,"quarterly"
"1413","BRAbank ASA","BRA-ME","2020-08-07T14:16:40.362+02:00","Invitasjon til presentasjon av Easybanks delårsresultat for 2. kvartal",0,"quarterly"
"1414","Bolig- og Næringskreditt AS","BNKR","2020-08-07T11:59:12.671+02:00","BNKR: Rapport 2. kvartal 2020",2,"quarterly"
"1415","BN Bank ASA","BNB","2020-08-07T11:57:40.349+02:00","BNB: Rapport 2. kvartal 2020",3,"quarterly"
"1416","Medistim ASA","MEDI","2020-08-07T10:29:01.082+02:00","Presentation of second quarter and first half results for 2020 for Medistim ASA",0,"quarterly"
"1417","Fibo Group AS","FBGR","2020-08-07T09:38:33.232+02:00","Fibo Group Q2/1H-2020 Financial Statement",2,"quarterly"
"1418","Fibo Group AS","FBGR","2020-08-07T09:38:33.041+02:00","Fibo Group Q2/1H-2020 Financial Statement",2,"quarterly"
"1419","Wilson ASA","WILS","2020-08-07T08:49:22.957+02:00","Wilson ASA: Kvartalsrapport 2Q 2020",1,"quarterly"
"1420","Bank2 ASA","BANKTO","2020-08-06T15:51:52.986+02:00","Halvårsrapport Bank2",1,"quarterly"
"1421","SpareBank 1 Næringskreditt AS","SBNK","2020-08-06T12:30:08.794+02:00","SpareBank 1 Næringskreditt Regnskap 2. kvartal 2020",1,"quarterly"
"1422","SpareBank 1 Boligkreditt","SPBKR","2020-08-06T12:27:13.739+02:00","SpareBank 1 Boligkreditt Q2 20 Financial report",1,"quarterly"
"1423","SR-Boligkreditt AS","SRBOL","2020-08-06T06:30:00Z","Kvartalsrapport Q2 2020",1,"quarterly"
"1424","SR-Boligkreditt AS","SRBOL","2020-08-06T06:30:00Z","Financial report Q2 2020",1,"quarterly"
"1425","Genel Energy Finance 2 Limited","GENEL","2020-08-06T08:03:15.295+02:00","Genel Energy PLC: Half-Year Results",1,"quarterly"
"1426","Euronav Luxembourg S.A.","EULU","2020-08-06T06:00:00Z","Euronav announces second quarter and first half 2020 results",1,"quarterly"
"1427","SpareBank 1 SR-Bank ASA","SRBANK","2020-08-06T07:30:16.57+02:00","SpareBank 1 SR-Bank ASA (SRBANK): A result marked by good operations but high impairments",2,"quarterly"
"1428","SpareBank 1 SR-Bank ASA","SRBANK","2020-08-06T07:30:16.523+02:00","SpareBank 1 SR-Bank ASA (SRBANK); Et resultat preget av god drift, men høye nedskrivninger",2,"quarterly"
"1429","Kongsberg Automotive ASA","KOA","2020-08-06T07:20:10.815+02:00","Kongsberg Automotive reports Q2 2020 results",3,"quarterly"
"1430","GasLog Ltd","GLOG","2020-08-05T11:00:00Z","GasLog Ltd. Reports Financial Results for the Three-Month Period Ended June 30, 2020",1,"quarterly"
"1431","SpareBank 1 Østlandet","SPOL","2020-08-05T08:54:19.033+02:00","High customer and lending growth, sharpened cost ambitions",2,"quarterly"
"1432","SpareBank 1 Østlandet","SPOL","2020-08-05T08:54:18.859+02:00","Høy kundeaktivitet, sterk utlånsvekst og spisset kostnadsambisjon",2,"quarterly"
"1433","SoftOx Solutions AS","SOFTOX-ME","2020-09-30T10:34:51.924+02:00","SoftOx - 1st half year 2020 report",1,"quarterly"
"1434","SoftOx Solutions AS","SOFTOX-ME","2020-09-30T10:34:51.802+02:00","SoftOx - Halvårsrapport 2020",1,"quarterly"
"1435","Black Sea Property AS","BSP-ME","2020-09-30T08:19:14.294+02:00","BLACK SEA PROPERTY AS: HALF YEAR REPORT 2020",1,"quarterly"
"1436","Black Sea Property AS","BSP-ME","2020-09-30T08:19:14.216+02:00","BLACK SEA PROPERTY AS: HALVÅRSRAPPORT 2020",1,"quarterly"
"1437","Golden Energy Offshore Services AS","GEOS-ME","2020-09-30T05:50:00Z","GEOS - FIRST HALF 2020 FINANCIAL REPORT",1,"quarterly"
"1438","Teekay LNG Partners L.P.","TKLNG","2020-09-29T19:27:16.285+02:00","Teekay LNG Partners L.P. - Norwegian Kroner Bonds - June 30, 2020 Responsibility Statement",1,"quarterly"
"1439","Teekay LNG Partners L.P.","TKLNG","2020-09-29T19:26:17.716+02:00","Teekay LNG Partners L.P. - Norwegian Kroner Bonds - June 30, 2020 Responsibility Statement",1,"quarterly"
"1440","Olympic Subsea ASA","OLSU","2020-09-29T11:00:00Z","Olympic Subsea ASA - rapport Q2-20",1,"quarterly"
"1441","Olympic Subsea ASA","OLSU","2020-09-29T11:00:00Z","Olympic Subsea ASA - report Q2-20",1,"quarterly"
"1442","J.P. Kenny Petroleum Ltd","JPK-ME","2020-09-29T09:43:46.527+02:00","JPKenny Petroleum Half Year Report 2020",1,"quarterly"
"1443","Storm Real Estate ASA","STORM","2020-09-28T14:10:00Z","Storm Real Estate ASA - Delårsrapport 1. halvår 2020, med erklæring i samsvar med vphl. § 5-6 annet ledd",1,"quarterly"
"1444","Storm Real Estate ASA","STORM","2020-09-28T14:10:00Z","Storm Real Estate ASA - Interim Report H1 2020, including statement in accordance with the Securities Trading Act section §5-6, second paragraph.",1,"quarterly"
"1445","Insr Insurance Group ASA","INSR","2020-09-28T10:21:06.811+02:00","Insr: Updated Half Year 2020 Report - Board Declaration included",1,"quarterly"
"1446","Orkla ASA","ORK","2020-09-24T21:00:14.921+02:00","Orkla ASA: Jotun tertialrapport",2,"quarterly"
"1447","Orkla ASA","ORK","2020-09-24T21:00:14.89+02:00","Orkla ASA: Jotun Interim Report",2,"quarterly"
"1448","ayfie Group AS","AYFIE-ME","2020-09-24T06:00:00Z","ayfie Group AS - H1 2020 financial report",1,"quarterly"
"1449","5th Planet Games A/S","FIVEPG","2020-09-18T07:44:03.646+02:00","46-2020  5th Planet Games A/S – H1 2020 financial report",1,"quarterly"
"1450","Cloudberry Clean Energy AS","CLOUD-ME","2020-09-16T05:00:00Z","Cloudberry Clean Energy AS | First half year 2020 report: Delivering on our growth ambitions",3,"quarterly"
"1451","Mercell Holding AS","MRCEL-ME","2020-09-15T05:00:00Z","Mercell delivers continued growth and strategic expansion in H1 2020",2,"quarterly"
"1452","Bluewater Holding B.V.","BLH","2020-09-14T15:26:59.073+02:00","Semi annual report Bluewater Holding B.V.",1,"quarterly"
"1453","Care Bidco AS","CARE","2020-09-14T09:35:54.612+02:00","Care BidCo Group – Invitation to update call with management 17 September 2020 at 09:00 CET",0,"quarterly"
"1454","Care Bidco AS","CARE","2020-09-10T20:03:16.412+02:00","Care BidCo Group - Interim report for Q2 and first half of 2020",2,"quarterly"
"1455","Sikri Holding AS","SIKRI-ME","2020-09-10T05:30:00Z","Interim report H1",2,"quarterly"
"1456","Clemens Kraftverk AS","CLKR","2020-09-09T09:57:11.372+02:00","Interim report Clemens Kraftverk Q2 2020",1,"quarterly"
"1457","Clemens Kraftverk AS","CLKR","2020-09-09T09:57:11.308+02:00","Delårsrapport Clemens Kraftverk Q2 2020",1,"quarterly"
"1458","Clemens Kraftverk AS","CLKR","2020-09-09T09:55:15.192+02:00","Interim report Clemens Kraftverk Q2 2020",1,"quarterly"
"1459","Clemens Kraftverk AS","CLKR","2020-09-09T09:54:35.71+02:00","Delårsrapport Clemens Kraftverk Q2 2020",1,"quarterly"
"1460","Clemens Kraftverk AS","CLKR","2020-09-09T09:54:35.598+02:00","Interim report Clemens Kraftverk Q2 2020",0,"quarterly"
"1461","Eagle Bulk Shipco LLC","EBS","2020-09-02T14:23:52.52+02:00","Eagle Bulk Shipco LLC - 2020 Second Quarter, Consolidated Financial Statements",1,"quarterly"
"1462","Andfjord Salmon AS","ANDF-ME","2020-09-02T08:00:38.151+02:00","Andfjord Salmon AS: First half 2020 interim report",1,"quarterly"
"1463","Andfjord Salmon AS","ANDF-ME","2020-09-02T08:00:38.028+02:00","Andfjord Salmon AS: Resultater for første halvår 2020",1,"quarterly"
"1464","Nordic Capital Partners II AS","NOCP","2020-02-28T22:06:39.017+01:00","Annual report 2019 Nordic Capital Partners II AS",1,"anual"
"1465","Salmones Camanchaca S.A.","SALMON","2020-02-28T21:10:40.467+01:00","Salmones Camanchaca - Fourth quarter 2019 results",4,"anual"
"1466","Salmones Camanchaca S.A.","SALMON","2020-02-28T21:10:16.593+01:00","Salmones Camanchaca - Fourth quarter 2018 results",4,"anual"
"1467","Kommunalbanken AS","KOMB","2020-02-28T16:02:15.88+01:00","KBN: Satisfactory results for 2019",2,"anual"
"1468","Kommunalbanken AS","KOMB","2020-02-28T16:02:15.837+01:00","KBN: Tilfredsstillende resultat for 2019",2,"anual"
"1469","Magseis Fairfield ASA","MSEIS","2020-02-28T15:56:54+01:00","MSEIS - Magseis Fairfield ASA publishes its Annual Report 2019",1,"anual"
"1470","Nidaros Sparebank","NISB-ME","2020-02-28T15:02:38.347+01:00","Foreløpig årsrapport for 2019",1,"anual"
"1471","Bluewater Holding B.V.","BLH","2020-02-28T14:47:27.483+01:00","Bluewater Q4 2019",1,"anual"
"1472","BNP Paribas Leasing Solutions AS","LANDKF","2020-02-28T13:59:03.15+01:00","BNP Paribas LS AS - Årsrapport 2019",1,"anual"
"1473","Luster Sparebank","LUSB","2020-02-28T12:58:17.373+01:00","Årsrekneskap 2019",1,"anual"
"1474","Hjelmeland Sparebank","HJSB","2020-02-28T12:33:31.7+01:00","Årsrapport 2019",1,"anual"
"1475","Strømmen Sparebank","STSB","2020-02-28T11:20:26.227+01:00","Strømmen Sparebank - Årsrapport 2019",1,"anual"
"1476","Høland og Setskog Sparebank","HSPG","2020-02-28T09:36:08.567+01:00","Årsrapport 2019",1,"anual"
"1477","RørosBanken","ROSB","2020-02-28T09:04:32.087+01:00","Foreløpig årsrapport 2019 for RørosBanken",1,"anual"
"1478","RørosBanken","ROSB","2020-02-28T09:04:06.44+01:00","Foreløpig årsrapport 2019 for RørosBanken",1,"anual"
"1479","RørosBanken","ROSB","2020-02-28T09:03:46.057+01:00","Foreløpig årsrapport 2018 for RørosBanken",1,"anual"
"1480","Eiendomskreditt AS","EIKR","2020-02-28T08:59:16.057+01:00","Eiendomskreditt AS - Årsrapport 2019",1,"anual"
"1481","BW Offshore Limited","BWO","2020-02-28T07:52:02.483+01:00","BW Offshore: fourth quarter and full year results 2019 - Correction*",4,"anual"
"1482","BW Offshore Limited","BWO","2020-02-28T07:30:01.69+01:00","BW Offshore: Fourth quarter and full year results 2019",0,"anual"
"1483","BW LPG Limited","BWLPG","2020-02-28T02:39:42.197+01:00","BW LPG Financial Results for Q4 and FY 2019 and Annual Report 2019",3,"anual"
"1484","RomReal Ltd.","ROM","2020-02-27T22:19:41.84+01:00","RomReal: Fourth Quarter 2019 (Q4) Results and Investor Presentation",2,"anual"
"1485","Bank2 ASA","BANKTO","2020-02-27T16:30:05.85+01:00","Årsrapport 2019",1,"anual"
"1486","SpareBank 1 Ringerike Hadeland","RING","2020-02-27T16:05:00+01:00","Innkalling til møter i Representantskapet 19.03.20",3,"anual"
"1487","Rindal Sparebank","RISB","2020-02-27T15:37:28.083+01:00","Årsregnskap 2019",1,"anual"
"1488","Tulip Oil Netherlands Offshore B.V","TUON","2020-02-27T15:06:55.197+01:00","Tulip Oil 2019 Annual Financial Reports (Audited)",3,"anual"
"1489","Odal Sparebank","ODAL","2020-02-27T14:44:48.44+01:00","Foreløpig regnskap 2019 Odal Sparebank",1,"anual"
"1490","Odal Sparebank","ODAL","2020-02-27T14:38:14.043+01:00","Foreløpig regnskap 2019 Odal Sparebank",0,"anual"
"1491","Grue Sparebank","GRSB","2020-02-27T14:05:48.037+01:00","Årsrapport 2019",1,"anual"
"1492","Sparebanken Narvik","NASB","2020-02-27T13:56:09.327+01:00","Historisk godt resultat for Sparebanken Narvik",1,"anual"
"1493","Sparebanken Din","SBDIN","2020-02-27T11:24:46.343+01:00","Årsmelding 2019",1,"anual"
"1494","Nordea Bank Abp","NDA","2020-02-27T09:00:42.66+01:00","Nordea has published its Annual Report, Sustainability Report and Remuneration Policy for Governing Bodies",5,"anual"
"1495","Nordea Bank Abp","NDA","2020-02-27T09:00:41.957+01:00","Nordea har publisert sin årsrapport, rapport om bærekraft og policy for godtgjørelse til ledende beslutningstakere",5,"anual"
"1496","Aurskog Sparebank","AURG","2020-02-27T08:19:51.9+01:00","Aurskog Sparebank: Årsrapport 2019",1,"anual"
"1497","Stadsbygd Sparebank","SBSB","2020-02-27T08:04:13.29+01:00","Stadsbygd Sparebank: Årsberetning for 2019",1,"anual"
"1498","Pareto Bank ASA","PARB","2020-02-27T07:33:03.26+01:00","Årsrapport 2019",1,"anual"
"1499","Kongsberg Automotive ASA","KOA","2020-02-27T07:30:52.327+01:00","Kongsberg Automotive - Annual Report 2019",1,"anual"
"1500","Sparebanken Møre","MORG","2020-02-27T07:00:00+01:00","Foreløpig årsrapport 2019 for Sparebanken Møre",1,"anual"
"1501","Orkla Sparebank","OSPA","2020-02-26T21:34:43.467+01:00","Årsrapport 2019",1,"anual"
"1502","Valle Sparebank","VASB","2020-02-26T16:05:39.643+01:00","Årsrapport 2019",0,"anual"
"1503","Santander Consumer Bank AS","SANC","2020-02-26T14:33:45.337+01:00","Santander Consumer Bank Nordic Group 2019 Result",1,"anual"
"1504","Grong Sparebank","GRONG-ME","2020-02-26T13:11:14.407+01:00","Foreløpig årsrapport 2019",1,"anual"
"1505","Zwipe AS","ZWIPE-ME","2020-02-26T09:48:29.053+01:00","Correction: Publication of Annual Report 2019",1,"anual"
"1506","Zwipe AS","ZWIPE-ME","2020-02-26T08:00:29.417+01:00","Publication of Annual Report 2019",1,"anual"
"1507","Asetek A/S","ASETEK","2020-02-26T07:00:30.343+01:00","Asetek - Q4 2019: Revenue in Line With Expectations, Evolving Gaming and Enthusiast Business Model",4,"anual"
"1508","SalMar ASA","SALM","2020-02-26T06:30:04.993+01:00","SalMar - Resultat for fjerde kvartal 2019",2,"anual"
"1509","SalMar ASA","SALM","2020-02-26T06:30:04.947+01:00","SalMar - Results for the fourth quarter 2019",2,"anual"
"1510","SpareBank 1 Gudbrandsdal","SBGG","2020-02-25T23:33:57.86+01:00","Årsrapport 2019 - SpareBank 1 Gudbrandsdal",1,"anual"
"1511","Ofoten Sparebank","OFSB","2020-02-25T20:20:59.043+01:00","Årsrapport 2019",1,"anual"
"1512","Bien Sparebank ASA","SBBIG","2020-02-25T16:47:59.307+01:00","Bien Sparebank ASA resultat for 2019",0,"anual"
